,,,,,,,,
,,,,,,,,
,,,,,,,,
,TE0705_REV04,,,B2B,,TE0713_REV03,,
,Conn Pin name,Desig.,Pin,pin c,pin m,others,intermediate,FPGA Pin
,B2B-IO-G3,JB2,21,JB2-21,JM2-22,---,---,U15
,B2B-IO-G3,JB2,24,JB2-24,JM2-23,---,---,W12
,B2B-IO-G3,JB2,23,JB2-23,JM2-24,---,---,V15
,B2B-IO-G3,JB2,26,JB2-26,JM2-25,---,---,Y11
,B2B-IO-G3,JB2,25,JB2-25,JM2-26,---,---,V13
,B2B-IO-G3,JB2,28,JB2-28,JM2-27,---,---,Y12
,B2B-IO-G3,JB2,27,JB2-27,JM2-28,---,---,V14
,B2B-IO-G3,JB2,32,JB2-32,JM2-31,---,---,AB12
,B2B-IO-G4,JB2,31,JB2-31,JM2-32,---,---,K22
,B2B-IO-G3,JB2,34,JB2-34,JM2-33,---,---,AB11
,B2B-IO-G4,JB2,33,JB2-33,JM2-34,---,---,K21
,B2B-IO-G3,JB2,36,JB2-36,JM2-35,---,---,AB10
,B2B-IO-G4,JB2,35,JB2-35,JM2-36,---,---,G20
,B2B-IO-G3,JB2,38,JB2-38,JM2-37,---,---,AA9
,B2B-IO-G4,JB2,37,JB2-37,JM2-38,---,---,H20
,B2B-IO-G4,JB2,42,JB2-42,JM2-41,---,---,L16
,B2B-IO-G4,JB2,41,JB2-41,JM2-42,---,---,H22
,B2B-IO-G4,JB2,44,JB2-44,JM2-43,---,---,K16
,B2B-IO-G4,JB2,43,JB2-43,JM2-44,---,---,J22
,B2B-IO-G4,JB2,46,JB2-46,JM2-45,---,---,K13
,B2B-IO-G4,JB2,45,JB2-45,JM2-46,---,---,K18
,B2B-IO-G4,JB2,48,JB2-48,JM2-47,---,---,K14
,B2B-IO-G4,JB2,47,JB2-47,JM2-48,---,---,K19
,B2B-IO-G4,JB2,52,JB2-52,JM2-51,---,---,J20
,B2B-IO-G4,JB2,51,JB2-51,JM2-52,---,---,L19
,B2B-IO-G4,JB2,54,JB2-54,JM2-53,---,---,J21
,B2B-IO-G4,JB2,53,JB2-53,JM2-54,---,---,L20
,B2B-IO-G4,JB2,56,JB2-56,JM2-55,---,---,J14
,B2B-IO-G4,JB2,55,JB2-55,JM2-56,---,---,J19
,B2B-IO-G4,JB2,58,JB2-58,JM2-57,---,---,H14
,B2B-IO-G4,JB2,57,JB2-57,JM2-58,---,---,H19
,B2B-IO-G4,JB2,62,JB2-62,JM2-61,---,---,N19
,B2B-IO-G4,JB2,61,JB2-61,JM2-62,---,---,L21
,B2B-IO-G4,JB2,64,JB2-64,JM2-63,---,---,N18
,B2B-IO-G4,JB2,63,JB2-63,JM2-64,---,---,M21
,B2B-IO-G4,JB2,66,JB2-66,JM2-65,---,---,M18
,B2B-IO-G4,JB2,65,JB2-65,JM2-66,---,---,N20
,B2B-IO-G4,JB2,68,JB2-68,JM2-67,---,---,L18
,B2B-IO-G4,JB2,67,JB2-67,JM2-68,---,---,M20
,B2B-IO-G4,JB2,72,JB2-72,JM2-71,---,---,H13
,B2B-IO-G4,JB2,71,JB2-71,JM2-72,---,---,M13
,B2B-IO-G4,JB2,74,JB2-74,JM2-73,---,---,G13
,B2B-IO-G4,JB2,73,JB2-73,JM2-74,---,---,L13
