,,,,,,,,,,,,,,,,,,
,Use overview sheet to select carrier and module ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,TE0705_REV04,,,,,,,,B2B,,TE0712_REV03,,,,,,Carrier + Module (PCB only)
,Index,Conn Pin name,Desig.,Pin,intermediate,Carrier Net Name,#netname,C. Trace Length (mm),others,pin c,pin m,others,intermediate,Module Net Name,#netname,FPGA Pin,M. Trace Length (mm),Total trace length (mm)
,35,B2B-IO-G1,JB1,36,---,X2,2,6.6193,R20-6,JB1-36,JM1-35,---,---,B16_L24_N,2,G22,23.6617,30.281
,36,B2B-IO-G1,JB1,35,---,IOA11,2,45.0096,J11-16,JB1-35,JM1-36,---,---,B16_L16_P,2,B20,14.4755,59.4851
,37,B2B-IO-G1,JB1,38,---,X3,2,6.7436,R20-5,JB1-38,JM1-37,---,---,B16_L24_P,2,G21,23.59,30.3336
,38,B2B-IO-G1,JB1,37,---,IOA10,2,47.2,J11-15,JB1-37,JM1-38,---,---,B16_L16_N,2,A20,14.709,61.909
,39,B2B-PWR_M2,JB1,40,---,VIOB,4,---,---,---,---,---,---,---,---,---,---,---
,40,B2B-IO-G1,JB1,39,---,IOB11,2,52.9,J13-16,JB1-39,JM1-40,---,---,B16_L19_N,2,C20,19.5133,72.4133
,41,B2B-IO-G1,JB1,42,---,IOA13,2,47.7629,J11-18,JB1-42,JM1-41,---,---,B16_L23_P,2,E21,28.4713,76.2342
,42,B2B-IO-G1,JB1,41,---,IOB10,2,54.7903,J13-15,JB1-41,JM1-42,---,---,B16_L19_P,2,D20,20.3442,75.1345
,43,B2B-IO-G1,JB1,44,---,IOA1,2,41.7809,J11-6,JB1-44,JM1-43,---,---,B16_L23_N,2,D21,28.0679,69.8488
,44,B2B-GND,JB1,43,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,45,B2B-IO-G1,JB1,46,---,IOA12,2,49.3796,J11-17,JB1-46,JM1-45,---,---,B16_L15_P,2,F18,26.3608,75.7404
,46,B2B-IO-G1,JB1,45,---,IOA9,2,41.0975,J11-14,JB1-45,JM1-46,---,---,B16_L17_N,2,A19,16.37,57.4675
,47,B2B-IO-G1,JB1,48,---,IOB16,2,59.8571,J13-21,JB1-48,JM1-47,---,---,B16_L15_N,2,E18,25.9427,85.7998
,48,B2B-IO-G1,JB1,47,---,IOA8,2,43.2956,J11-13,JB1-47,JM1-48,---,---,B16_L17_P,2,A18,16.2638,59.5594
,49,B2B-IO-G1,JB1,50,---,IOB15,2,55.4699,J13-20,JB1-50,JM1-49,---,---,B16_L20_P,2,C22,25.2578,80.7277
,50,B2B-IO-G1,JB1,49,---,IOB9,2,48.9825,J13-14,JB1-49,JM1-50,---,---,B16_L18_N,2,F20,22.74,71.7225
,51,B2B-IO-G1,JB1,52,---,IOB14,2,57.2586,J13-19,JB1-52,JM1-51,---,---,B16_L20_N,2,B22,24.8544,82.113
,52,B2B-IO-G1,JB1,51,---,IOB8,2,50.8539,J13-13,JB1-51,JM1-52,---,---,B16_L18_P,2,F19,22.5857,73.4396
,53,B2B-GND,JB1,54,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,54,B2B-GND,JB1,53,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,55,B2B-IO-G1,JB1,56,---,IOB13,2,52.6227,J13-18,JB1-56,JM1-55,---,---,B16_L21_P,2,B21,23.847,76.4697
