Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_712 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[20].ALU_Bit_I1                              |                                                                        ALU_Bit_652 |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_709 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_710 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[21].ALU_Bit_I1                              |                                                                        ALU_Bit_653 |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_707 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_708 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[22].ALU_Bit_I1                              |                                                                        ALU_Bit_654 |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_705 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_706 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[23].ALU_Bit_I1                              |                                                                        ALU_Bit_655 |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_703 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_704 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[24].ALU_Bit_I1                              |                                                                        ALU_Bit_656 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_701 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_702 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[25].ALU_Bit_I1                              |                                                                        ALU_Bit_657 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_699 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_700 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[26].ALU_Bit_I1                              |                                                                        ALU_Bit_658 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_697 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_698 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[27].ALU_Bit_I1                              |                                                                        ALU_Bit_659 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_695 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_696 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[28].ALU_Bit_I1                              |                                                                        ALU_Bit_660 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_693 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_694 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[29].ALU_Bit_I1                              |                                                                        ALU_Bit_661 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_691 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_692 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[2].ALU_Bit_I1                               |                                                                        ALU_Bit_662 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_689 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_690 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[30].ALU_Bit_I1                              |                                                                        ALU_Bit_663 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_687 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_688 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[31].ALU_Bit_I1                              |                                                                        ALU_Bit_664 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_685 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_686 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[3].ALU_Bit_I1                               |                                                                        ALU_Bit_665 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_683 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_684 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[4].ALU_Bit_I1                               |                                                                        ALU_Bit_666 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_681 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_682 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[5].ALU_Bit_I1                               |                                                                        ALU_Bit_667 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_679 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_680 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[6].ALU_Bit_I1                               |                                                                        ALU_Bit_668 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_677 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_678 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[7].ALU_Bit_I1                               |                                                                        ALU_Bit_669 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_675 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_676 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[8].ALU_Bit_I1                               |                                                                        ALU_Bit_670 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                      MB_LUT6_2_673 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_674 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Using_FPGA.ALL_Bits[9].ALU_Bit_I1                               |                                                                        ALU_Bit_671 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.I_ALU_LUT_V5                                     |                                                                          MB_LUT6_2 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                                 Not_Last_Bit.MUXCY_XOR_I                                      |                                             microblaze_v11_0_14_MB_MUXCY_XORCY_672 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                             Barrel_Shifter_I                                                  |                                                                 Barrel_Shifter_gti |         71 |         71 |       0 |    0 |   131 |      0 |      0 |    0 |          0 |
|                               (Barrel_Shifter_I)                                              |                                                                 Barrel_Shifter_gti |         24 |         24 |       0 |    0 |   131 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[0].MEM_Res_LUT6               |                                       microblaze_v11_0_14_MB_LUT6__parameterized12 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[10].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_610 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[11].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_611 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[12].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_612 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[13].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_613 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[14].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_614 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[15].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_615 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[16].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_616 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[17].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_617 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[18].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_618 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[19].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_619 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[1].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_620 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[20].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_621 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[21].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_622 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[22].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_623 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[23].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_624 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[24].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_625 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[25].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_626 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[26].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_627 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[27].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_628 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[28].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_629 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[29].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_630 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[2].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_631 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[30].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_632 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[31].MEM_Res_LUT6              |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_633 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[3].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_634 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[4].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_635 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[5].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_636 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[6].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_637 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[7].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_638 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[8].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_639 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Use_HW_BS.Using_BitField.Res_Bits[9].MEM_Res_LUT6               |                                   microblaze_v11_0_14_MB_LUT6__parameterized12_640 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                             Byte_Doublet_Handle_gti_I                                         |                                                            Byte_Doublet_Handle_gti |         22 |         22 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|                             Data_Flow_Logic_I                                                 |                                                                    Data_Flow_Logic |          1 |          1 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|                               (Data_Flow_Logic_I)                                             |                                                                    Data_Flow_Logic |          0 |          0 |       0 |    0 |    33 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[0].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_578 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[10].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_579 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[11].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_580 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[12].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_581 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[13].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_582 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[14].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_583 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[15].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_584 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[16].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_585 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[17].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_586 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[18].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_587 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[19].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_588 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[1].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_589 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[20].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_590 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[21].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_591 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[22].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_592 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[23].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_593 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[24].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_594 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[25].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_595 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[26].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_596 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[27].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_597 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[28].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_598 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[29].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_599 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[2].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_600 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[30].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_601 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[31].MEM_EX_Result_Inst                                 |                                                    microblaze_v11_0_14_MB_FDRE_602 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[3].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_603 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[4].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_604 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[5].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_605 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[6].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_606 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[7].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_607 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[8].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_608 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                               Gen_Bits[9].MEM_EX_Result_Inst                                  |                                                    microblaze_v11_0_14_MB_FDRE_609 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|                             MUL_Unit_I                                                        |                                                                           mul_unit |          0 |          0 |       0 |    0 |    17 |      0 |      0 |    0 |          3 |
|                               (MUL_Unit_I)                                                    |                                                                           mul_unit |          0 |          0 |       0 |    0 |    17 |      0 |      0 |    0 |          0 |
|                               Use_HW_MUL.Using_DSP48_Architectures.No_MUL64.dsp_module_I2     |                                                         dsp_module__parameterized1 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                                 Using_DSP48E1.DSP48E1_I1                                      |                                                         MB_DSP48E1__parameterized1 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                               Use_HW_MUL.Using_DSP48_Architectures.No_MUL64.dsp_module_I3     |                                                         dsp_module__parameterized3 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                                 Using_DSP48E1.DSP48E1_I1                                      |                                                         MB_DSP48E1__parameterized3 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                               Use_HW_MUL.Using_DSP48_Architectures.dsp_module_I1              |                                                                         dsp_module |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                                 Using_DSP48E1.DSP48E1_I1                                      |                                                                         MB_DSP48E1 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          1 |
|                             Operand_Select_I                                                  |                                                                 Operand_Select_gti |        159 |        159 |       0 |    0 |   144 |      0 |      0 |    0 |          0 |
|                               (Operand_Select_I)                                              |                                                                 Operand_Select_gti |        130 |        130 |       0 |    0 |   144 |      0 |      0 |    0 |          0 |
|                               Gen_Bit[0].MUXF7_I1                                             |                                                   microblaze_v11_0_14_MB_MUXF7_546 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                               Gen_Bit[10].MUXF7_I1                                            |                                                   microblaze_v11_0_14_MB_MUXF7_547 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
